nom_parfum,marque,nose,launch_year,rating_value,rating_count,main_accords,gender,longevity,sillage,price_feeling,top_notes,middle_notes,base_notes,url
Fig Infusion 73092.html,Essential Parfums,Nathalie Lorson,2022.0,3.89,"1,936","['woody', 'fruity', 'citrus', 'sweet', 'green', 'powdery', 'warm spicy', 'white floral']",unisex,moderate,average,ok,[],[],[],https://www.fragrantica.com/perfume/Essential-Parfums/Fig-Infusion-73092.html
Mon Vetiver 50788.html,Essential Parfums,Bruno Jovanovic,2018.0,3.74,"1,071","['aromatic', 'woody', 'citrus', 'fresh spicy', 'earthy']",male,moderate,average,ok,[],[],[],https://www.fragrantica.com/perfume/Essential-Parfums/Mon-Vetiver-50788.html
Neroli Botanica 90834.html,Essential Parfums,Anne Flipo,2024.0,3.77,465,"['white floral', 'aromatic', 'citrus', 'fresh', 'fresh spicy', 'floral', 'green', 'woody']",unisex,moderate,average,ok,[],[],[],https://www.fragrantica.com/perfume/Essential-Parfums/Neroli-Botanica-90834.html
Nice Bergamote 50789.html,Essential Parfums,Antoine Maisondieu,2018.0,3.98,"1,766","['citrus', 'white floral', 'woody', 'fresh spicy', 'yellow floral', 'aromatic', 'floral', 'sweet']",unisex,moderate,average,ok,[],[],[],https://www.fragrantica.com/perfume/Essential-Parfums/Nice-Bergamote-50789.html
Orange X Santal 50786.html,Essential Parfums,Natalie Gracia-Cetto,2018.0,3.77,"1,455","['woody', 'citrus', 'fresh spicy', 'aromatic', 'fresh', 'powdery', 'mossy', 'warm spicy', 'green']",unisex,moderate,average,ok,[],[],[],https://www.fragrantica.com/perfume/Essential-Parfums/Orange-X-Santal-50786.html
Patchouli Mania 85144.html,Essential Parfums,Fabrice Pellegrin,2023.0,3.67,767,"['woody', 'patchouli', 'warm spicy', 'aromatic', 'earthy', 'nutty', 'green', 'balsamic', 'cacao']",unisex,moderate,average,ok,"['Coriander', 'Davana', 'Hazelnut']","['Cacao', 'Clearwood', 'Tea']","['Vetiver', 'Patchouli', 'Cetalox']",https://www.fragrantica.com/perfume/Essential-Parfums/Patchouli-Mania-85144.html
Rose Magnetic 50787.html,Essential Parfums,Sophie Labbé,2018.0,3.85,"1,275","['rose', 'vanilla', 'citrus', 'fruity', 'aromatic', 'tropical', 'floral', 'fresh spicy', 'green', 'fresh']",female,moderate,average,ok,[],[],[],https://www.fragrantica.com/perfume/Essential-Parfums/Rose-Magnetic-50787.html
Spirit Of Arabia 104347.html,Essential Parfums,,,,,"['smoky', 'amber', 'leather', 'oud', 'animalic']",,,,,"['Amber', 'Smoke']",['Leather'],['Oud'],https://www.fragrantica.com/perfume/Essential-Parfums/Spirit-Of-Arabia-104347.html
The Musc 50790.html,Essential Parfums,Calice Becker,2018.0,3.73,"1,698","['musky', 'powdery', 'lavender', 'beeswax', 'woody', 'animalic', 'honey', 'fresh spicy', 'aromatic']",female,moderate,average,ok,[],[],[],https://www.fragrantica.com/perfume/Essential-Parfums/The-Musc-50790.html
Velvet Iris 103276.html,Essential Parfums,Dominique Ropion,2025.0,4.57,14,"['iris', 'powdery', 'woody', 'aromatic', 'earthy', 'amber', 'leather', 'violet', 'balsamic']",unisex,,,,[],[],[],https://www.fragrantica.com/perfume/Essential-Parfums/Velvet-Iris-103276.html
Rise and Fall 95639.html,Floraiku,,2024.0,4.22,50,"['vanilla', 'herbal', 'sweet', 'fresh spicy', 'warm spicy', 'fresh', 'powdery', 'tobacco']",unisex,moderate,average,overpriced,['Ginger'],['Immortelle'],['Vanilla Bean'],https://www.fragrantica.com/perfume/Floraiku/Rise-and-Fall-95639.html
Spring River 96555.html,Floraiku,,2024.0,3.69,49,"['floral', 'fresh', 'musky', 'powdery', 'citrus', 'rose', 'yellow floral', 'vanilla', 'sweet', 'aromatic']",female,long lasting,intimate,overpriced,"['Lemon', 'Peony', 'Petitgrain']","['Lilybelle®', 'Ylang Ylang', 'Heliotrope']","['Patchouli', 'Sandalwood', 'White Musk', 'Ambrostar™', 'Vetiver']",https://www.fragrantica.com/perfume/Floraiku/Spring-River-96555.html
Morning Mist 101854.html,Floraiku,,2025.0,5.0,2,"['warm spicy', 'citrus', 'fresh', 'aromatic', 'woody', 'earthy']",,,,,['Lime'],['Ginger'],['Vetiver'],https://www.fragrantica.com/perfume/Floraiku/Morning-Mist-101854.html
Night Mist 101855.html,Floraiku,,2025.0,,,"['aromatic', 'amber', 'lavender', 'fresh spicy', 'soft spicy', 'warm spicy']",,,,,['Lavender'],['Clary Sage'],['Olibanum'],https://www.fragrantica.com/perfume/Floraiku/Night-Mist-101855.html
Friday Night 79182.html,Floraiku,,2021.0,3.64,11,"['woody', 'leather', 'fruity', 'ozonic', 'citrus', 'sweet', 'aquatic', 'powdery', 'musky', 'earthy']",unisex,,,,[],[],[],https://www.fragrantica.com/perfume/Floraiku/Friday-Night-79182.html
I Am Not a Flower 63337.html,Floraiku,Alienor Massenet,2018.0,4.16,49,"['oud', 'amber', 'warm spicy', 'woody', 'powdery']",unisex,moderate,average,way overpriced,[],[],[],https://www.fragrantica.com/perfume/Floraiku/I-Am-Not-a-Flower-63337.html
