nom_parfum,marque,nose,launch_year,rating_value,rating_count,main_accords,gender,longevity,sillage,price_feeling,top_notes,middle_notes,base_notes,url
Cereja e Avelã,Natura,Verônica Kato,2014.0,4.07,693,"['nutty', 'sweet', 'woody', 'cherry', 'fruity', 'floral', 'fresh', 'vanilla', 'almond', 'powdery']",female,moderate,average,good value,"['Blackberry', 'Grapefruit', 'Litchi', 'Pomegranate', 'Apple', 'Apricot', 'Cherry', 'Yogurt', 'Ice', 'Lemon', 'Pear', 'Pink Pepper']","['Freesia', 'Mango', 'Jasmine', 'Peony', 'Hazelnut', 'Lily-of-the-Valley', 'Plum Blossom', 'Gardenia']","['Vanilla', 'Honey', 'Almond', 'Chestnut', 'Nutella', 'Cotton Candy', 'Sandalwood', 'Chocolate', 'Amber', 'Musk']",https://www.fragrantica.com/perfume/Natura/Cereja-e-Avela-33500.html
Chá de Camomila e Lavanda,Natura,Verônica Kato,2024.0,4.45,138,"['floral', 'herbal', 'lavender', 'aromatic', 'fresh spicy']",unisex,moderate,average,great value,[],[],[],https://www.fragrantica.com/perfume/Natura/Cha-de-Camomila-e-Lavanda-95751.html
Dia de Sol Frutas Tropicais,Natura,Verônica Kato,2014.0,3.97,32,"['fruity', 'sweet', 'green', 'floral']",,weak,average,,[],[],[],https://www.fragrantica.com/perfume/Natura/Dia-de-Sol-Frutas-Tropicais-36185.html
Flor de Lis,Natura,Verônica Kato,2018.0,3.95,195,"['woody', 'ozonic', 'marine', 'aquatic', 'powdery', 'musky', 'white floral', 'aromatic', 'citrus', 'green']",female,moderate,intimate,good value,"['Orange Peel', 'Bamboo Leaf', 'Lime', 'Ivy', 'Sea water']","['Green Anjou Pears', 'Sunflower', 'Azteca Lily', 'Water Jasmine', 'Melon']","['White Cedar Extract', 'Sandalwood', 'Musk', 'Violet Leaf', 'Heliotrope']",https://www.fragrantica.com/perfume/Natura/Flor-de-Lis-54718.html
Flor de Maçã,Natura,Verônica Kato,2018.0,4.03,38,"['musky', 'floral', 'fruity', 'powdery', 'fresh']",female,weak,average,great value,[],[],[],https://www.fragrantica.com/perfume/Natura/Flor-de-Maca-64711.html
Flor de Pêra e Melissa,Natura,Verônica Kato,2024.0,4.41,54,"['citrus', 'floral', 'musky', 'aromatic', 'lavender', 'fresh', 'powdery', 'fresh spicy', 'fruity']",female,weak,average,good value,[],[],[],https://www.fragrantica.com/perfume/Natura/Flor-de-Pera-e-Melissa-98670.html
Folhas de Limão e Graviola,Natura,Verônica Kato,2019.0,3.96,114,"['citrus', 'green', 'aromatic', 'floral', 'fresh spicy', 'fruity', 'powdery', 'sweet', 'fresh', 'vanilla']",unisex,moderate,intimate,good value,"['Bergamot', 'Lime', 'Soursop', 'Basil', 'Cardamom', 'Mandarin Orange', 'Lemon Leaf', 'Pear', 'Green Notes', 'Lemon Verbena']","['Peony', 'Transparent Flowers', 'Magnolia', 'Violet', 'Orange Blossom']","['Madagascar Vanilla', 'Sandalwood', 'Amber', 'Musk', 'Tonka Bean']",https://www.fragrantica.com/perfume/Natura/Folhas-de-Limao-e-Graviola-54719.html
Framboesa e Pimenta Rosa,Natura,Verônica Kato,2015.0,3.94,197,"['fruity', 'sweet', 'soft spicy', 'rose', 'musky', 'powdery']",female,moderate,average,good value,"['Pineapple', 'Freesia', 'Peach', 'Coconut', 'Apple', 'Cherry', 'Orange', 'Pistachio', 'Raspberry', 'Pear', 'Green Notes', 'Pink Pepper']","['Freesia', 'Jasmine', 'Rose', 'Lily-of-the-Valley', 'Magnolia', 'Violet']","['Cedar', 'Powdery Notes', 'Vanilla', 'Sandalwood', 'Amber', 'Musk', 'Balsamic Notes']",https://www.fragrantica.com/perfume/Natura/Framboesa-e-Pimenta-Rosa-34255.html
Framboesa e Pimenta Vermelha,Natura,Verônica Kato,2018.0,4.23,100,"['fruity', 'sweet', 'soft spicy', 'vanilla', 'floral', 'rose']",female,moderate,average,good value,"['Red Fruits', 'Raspberry', 'Pink Pepper']",['Floral Notes'],['Vanilla'],https://www.fragrantica.com/perfume/Natura/Framboesa-e-Pimenta-Vermelha-57650.html
Frésia em Flor,Natura,Verônica Kato,2019.0,4.6,5,"['musky', 'vanilla', 'powdery', 'amber', 'green', 'floral', 'animalic', 'sweet', 'soft spicy']",,,,,[],[],[],https://www.fragrantica.com/perfume/Natura/Fresia-em-Flor-59034.html
Frutas Vermelhas,Natura,Verônica Kato,2012.0,3.78,114,"['fruity', 'sweet', 'fresh', 'woody', 'green']",female,very weak,intimate,good value,"['Strawberry', 'Peach', 'Cassis', 'Apple', 'Orange', 'Pear', 'Plum']","['Rose', 'Lily-of-the-Valley', 'Violet']","['Musk', 'Sandalwood', 'Cedar']",https://www.fragrantica.com/perfume/Natura/Frutas-Vermelhas-33521.html
Frutas Vermelhas Intensas,Natura,Verônica Kato,2019.0,3.5,4,"['fruity', 'sweet', 'fresh', 'sour', 'vanilla']",,,,,[],[],[],https://www.fragrantica.com/perfume/Natura/Frutas-Vermelhas-Intensas-56453.html
Lavanda e Baunilha,Natura,Verônica Kato,2014.0,4.15,141,"['vanilla', 'lavender', 'powdery', 'aromatic', 'sweet', 'fresh spicy', 'floral']",female,moderate,average,great value,"['Bergamot', 'Star Anise', 'Cherry', 'Lavender']","['Cherry Blossom', 'Lily-of-the-Valley', 'Candy Apple', 'Plum', 'Cotton Flower']","['Musk', 'Transparent Woods', 'Vanilla']",https://www.fragrantica.com/perfume/Natura/Lavanda-e-Baunilha-33501.html
Lima e Flor de Laranjeira,Natura,,2019.0,3.99,137,"['citrus', 'white floral', 'sweet', 'conifer']",unisex,very weak,intimate,good value,[],[],[],https://www.fragrantica.com/perfume/Natura/Lima-e-Flor-de-Laranjeira-54353.html
Limão Siciliano e Flor de Gardênia,Natura,Verônica Kato,2024.0,4.26,105,"['citrus', 'white floral', 'fresh']",unisex,weak,average,great value,[],[],[],https://www.fragrantica.com/perfume/Natura/Limao-Siciliano-e-Flor-de-Gardenia-98649.html
